@id,last_update,name,category,email,telephone,siret,website,publisher_id,publisher_legal_name,zipcode,address,city,department,department_code,region,qualite_tourisme,coordinates,comp_on_email_ok,comp_on_email_poi,comp_on_tel_ok,comp_on_tel_poi,comp_on_web_ok,comp_on_web_poi,comp_on_address_ok,comp_on_address_poi,comp_full_name_ok,comp_full_name_poi,comp_on_geo_ok,comp_on_geo_poi,id_data_gouv,matched
https://data.datatourisme.fr/10/00fe160a-776a-3608-9e3f-33fcd657b4d5,2021-12-27,latino's pizza,foodestablishment restaurant,latinospizza@hotmail.fr,+33 3 87 81 43 35,51105269800012,latinos-pizza.com,https://data.datatourisme.fr/20532ef0-d667-3379-a67a-acc084fad788,système d’information touristique lorrain,57740,88 rue du général de gaulle,longeville-lès-saint-avold,moselle,57,grand est,True,"49.115171,6.638579",False,,False,,False,,False,,False,,False,,,False
https://data.datatourisme.fr/30/005b892d-bb4a-35f2-9de8-d320bb5edb73,2022-08-01,hôtel du golf,accommodation foodestablishment hotel hotelrestaurant hoteltrade lodgingbusiness restaurant,,,,hotel-du-golf-cabourg.com,https://data.datatourisme.fr/4defdc1a-8206-3c08-9055-ccfc3250dd01,comité régional de tourisme normandie,14390,avenue michel d'ornano,cabourg,calvados,14,normandie,True,"49.278603,-0.121553",False,,False,,False,,False,,False,,False,,,False
https://data.datatourisme.fr/47/005a7678-bc71-37b8-807c-9840633f2091,2022-05-20,manade pierre aubanel et baroncelli,culturalsite,berenger.aubanel@gmail.com,,,,https://data.datatourisme.fr/e900ea22-f191-39f5-84c7-0f5355f1b3bf,gard tourisme,30800,mas du petit barjac route de fourques,saint-gilles,gard,30,occitanie,True,"43.686620,4.456175",False,,False,,False,,False,,False,,False,,,False
https://data.datatourisme.fr/48/0004c013-0e04-3237-ad07-c36e68a04fda,2022-04-11,les voiliers,accommodation hoteltrade lodgingbusiness,accueil@lesvoiliers.fr,+33 3 25 87 05 74,,lesvoiliers.fr,https://data.datatourisme.fr/081c4049-7ed3-3499-943a-07e169c91044,maison départementale du tourisme de la haute-marne,52200,1 rue des voiliers clara champonnois et pauline joannard lac de la liez - peigney,langres,haute-marne,52,grand est,True,"47.868517,5.372400",False,,False,,False,,False,,False,,False,,,False
https://data.datatourisme.fr/49/0053373c-af29-3735-8191-49611bc2f5a2,2022-08-05,le relais saint-clair,foodestablishment restaurant,relaisclair@wanadoo.fr,+33 2 40 87 66 11,,relais-saint-clair.com,https://data.datatourisme.fr/cb37ecba-e500-37e7-b601-64f9b1ef5b04,esprit pays de la loire,44530,31 rue de l'isac,guenrouet,loire-atlantique,44,pays de la loire,True,"47.522840,-1.951110",False,,False,,False,,False,,False,,False,,,False
https://data.datatourisme.fr/49/00dc7eed-9d81-36c6-b2d9-cd96f3f42f5c,2020-05-15,hôtel ibis styles nantes centre place royale,accommodation hotel hoteltrade lodgingbusiness,ibisstyles.nantes-royale@orange.fr,+33 2 40 35 74 50,,ibis.com/fr/hotel-6855-ibis-styles-nantes-centre-place-royale/index.shtml,https://data.datatourisme.fr/cb37ecba-e500-37e7-b601-64f9b1ef5b04,esprit pays de la loire,44000,3 rue du couëdic,nantes,loire-atlantique,44,pays de la loire,True,"47.214292,-1.557301",False,,False,,False,,False,,False,,False,,,False
https://data.datatourisme.fr/42/019d222c-60b0-38ff-9193-c6d4a8ee677c,2022-04-08,gîte de l'étang,accommodation accommodationproduct chalet lodgingbusiness product rentalaccommodation selfcateringaccommodation,,+33 6 70 94 90 17,,,https://data.datatourisme.fr/13bc82f8-34ad-3246-b65b-bdd79680d984,ardennes tourisme,08170,3 rue de la douane,hargnies,ardennes,08,grand est,True,"50.018210,4.794419",False,,False,,False,,False,,False,,False,,,False
https://data.datatourisme.fr/49/011071e4-249b-3a7b-9e2b-2240e8bfd099,2022-03-10,hotel oasis,accommodation hotel hoteltrade lodgingbusiness,oasis@oasis.fr,+33 2 43 03 28 67,,oasis.fr,https://data.datatourisme.fr/cb37ecba-e500-37e7-b601-64f9b1ef5b04,esprit pays de la loire,53700,la sourderie route de javron,villaines-la-juhel,mayenne,53,pays de la loire,True,"48.353806,-0.286163",False,,False,,False,,False,,False,,False,,,False
https://data.datatourisme.fr/49/014f52b8-dac7-3875-af80-01a6b319e364,2022-01-02,gite de la charmeliere - le gardenia - cottage sympa,accommodation lodgingbusiness rentalaccommodation selfcateringaccommodation,contact@gites-charmeliere-44.fr,+33 6 80 24 78 37,,gites-charmeliere-44.fr,https://data.datatourisme.fr/cb37ecba-e500-37e7-b601-64f9b1ef5b04,esprit pays de la loire,44470,3 impasse de la charmelière,carquefou,loire-atlantique,44,pays de la loire,True,"47.298075,-1.475842",False,,False,,False,,False,,False,,False,,,False
https://data.datatourisme.fr/49/01e7ceff-7f7d-3904-8414-a09acc7d372a,2022-01-02,hôtel restaurant auberge de la foret,accommodation hoteltrade lodgingbusiness,reservation@auberge-delaforet.fr,+33 2 40 51 20 26,,auberge-delaforet.fr,https://data.datatourisme.fr/cb37ecba-e500-37e7-b601-64f9b1ef5b04,esprit pays de la loire,44130,33 la maillardais,le gâvre,loire-atlantique,44,pays de la loire,True,"47.527104,-1.766503",False,,False,,False,,False,,False,,False,,,False
