id,last_update,name,category,email,telephone,siret,website,publisher_id,publisher_legal_name,zipcode,address,city,department,department_code,region,qualite_tourisme,coordinates
https://data.datatourisme.fr/10/003192e6-ccfe-3f35-903b-e86be8088ea2,2021-10-04,restaurant au creux des bois,foodestablishment restaurant,hotel-aster@orange.fr,+33 3 87 93 06 94,49301196900018,hotel-aster.com/galerie/notre-restaurant-au-creux-des-bois,https://data.datatourisme.fr/20532ef0-d667-3379-a67a-acc084fad788,système d’information touristique lorrain,57150,2 impasse beau rivage,creutzwald,moselle,57,grand est,True,"49.193837,6.686555"
https://data.datatourisme.fr/10/00fd36c2-ff6d-3d4c-8630-8aab4b938d18,2022-07-01,camping le domaine des bans,accommodation camping campingandcaravanning lodgingbusiness,domainedesbans@cielavillage.com,+33 3 29 51 64 67,39744718600040,domaine-des-bans.fr,https://data.datatourisme.fr/20532ef0-d667-3379-a67a-acc084fad788,système d’information touristique lorrain,88430,146 rue james wiese,corcieux,vosges,88,grand est,True,"48.168963,6.880120"
https://data.datatourisme.fr/10/00fe160a-776a-3608-9e3f-33fcd657b4d5,2021-12-27,latino's pizza,foodestablishment restaurant,latinospizza@hotmail.fr,+33 3 87 81 43 35,51105269800012,latinos-pizza.com,https://data.datatourisme.fr/20532ef0-d667-3379-a67a-acc084fad788,système d’information touristique lorrain,57740,88 rue du général de gaulle,longeville-lès-saint-avold,moselle,57,grand est,True,"49.115171,6.638579"
https://data.datatourisme.fr/14/00b5d269-2a78-3b6a-9d3d-1522c6e9d1ad,2021-10-06,najeti hotel du golf,accommodation hoteltrade lodgingbusiness,golf@najeti.fr,+33 3 21 11 42 42,,golf.najeti.fr,https://data.datatourisme.fr/b180a627-280b-33a9-b645-02898e60b959,pas-de-calais tourisme,62380,chemin des bois,acquin-westbécourt,pas-de-calais,62,hauts-de-france,True,"50.712386,2.088150"
https://data.datatourisme.fr/14/00b99e87-221c-3afb-8c0c-23c3fb403307,2016-02-19,le carre saint martin (bowling),foodestablishment restaurant,lecarre.stmartin@nordnet.fr,+33 3 91 92 38 20,,carre-st-martin.com,https://data.datatourisme.fr/830481a6-d4b9-39ed-9795-075e6d44f955,pas-de-calais tourisme,62500,53 route du fond sequin,saint-martin-lez-tatinghem,pas-de-calais,62,hauts-de-france,True,"50.763162,2.222686"
https://data.datatourisme.fr/23/00b6eed7-caa0-3345-b307-3c49e25ccd94,2022-04-19,brit hôtel du parc,accommodation hotel hoteltrade lodgingbusiness,hotelduparc.niort@wanadoo.fr,+33 5 49 24 36 21,,,https://data.datatourisme.fr/224c22ca-928b-302c-88eb-1b5127f13950,sirtaqui nouvelle-aquitaine,79000,96 avenue de paris,niort,deux-sèvres,79,nouvelle-aquitaine,True,"46.325676,-0.451997"
https://data.datatourisme.fr/23/00cd29c9-c013-3b7a-a296-3fe3ee19aa57,2022-05-04,flower camping de la venise verte,accommodation camping campingandcaravanning lodgingbusiness,accueil@camping-laveniseverte.fr,+33 5 49 35 90 36,,bookingpremium.secureholiday.net/fr/425/Search/?dateStart=10%2F04%2F2021&dateEnd=17%2F04%2F2021&productType=,https://data.datatourisme.fr/0b90f4cb-87fc-3072-a8d4-e7bf848f158d,sirtaqui nouvelle-aquitaine,79510,178 route des bords de sèvre,coulon,deux-sèvres,79,nouvelle-aquitaine,True,"46.314691,-0.608796"
https://data.datatourisme.fr/23/00cd29c9-c013-3b7a-a296-3fe3ee19aa57,,flower camping de la venise verte,,,,,camping-laveniseverte.fr,,,,,,,,,False,
https://data.datatourisme.fr/30/005b892d-bb4a-35f2-9de8-d320bb5edb73,2022-07-24,hôtel du golf,accommodation foodestablishment hotel hotelrestaurant hoteltrade lodgingbusiness restaurant,,,,hotel-du-golf-cabourg.com,https://data.datatourisme.fr/4defdc1a-8206-3c08-9055-ccfc3250dd01,comité régional de tourisme normandie,14390,avenue michel d'ornano,cabourg,calvados,14,normandie,True,"49.278603,-0.121553"
https://data.datatourisme.fr/30/005b892d-bb4a-35f2-9de8-d320bb5edb73,,hôtel du golf,,contact@hotel-du-golf-cabourg.com,+33 2 31 24 12 34,,,,,,,,,,,False,
